req_type,cpu_bw,memory,msg_per_sec,msg_t_mean,msg_t_std,rx_bytes,tx_bytes,mal_count_total,mal_time_max,mal_time_total,mal_ft_max,mal_test_complete,rx_packets,if_in_tx_packets
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1442.4866970855455,3412.720682096481,1956.545860081596,1992195.0,118174.0,10000,5593.250036239624,14.019541025161743,6.009318113327026,False,2086.0,1185.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1414.498768861483,3756.1599338054657,2013.7938880956576,1989689.0,116548.0,10000,5973.675966262817,14.01834201812744,6.869280099868774,False,2060.0,1160.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1444.0748024732172,3317.213070559502,1965.811852866961,1991120.0,117316.0,10000,5536.617994308472,17.021586894989014,6.334265947341919,False,2085.0,1172.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1440.336512947357,3657.3185894966127,2044.054350225592,1992640.0,119428.0,10000,5938.068866729736,17.02167010307312,6.262162923812866,False,2111.0,1204.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1438.9588429276523,3464.631551098824,1985.075934076452,1989019.0,115756.0,10000,5673.784017562866,13.017406940460203,0.0,0,2065.0,1148.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1444.351390664257,3424.463018274307,1999.5846150217333,1992654.0,120574.0,10000,5677.880048751831,11.015197992324827,0.0,0,2104.0,1221.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1093.5815846074088,3819.943559002876,2024.816197857377,1993188.0,119560.0,10000,6069.015026092529,16.021787881851196,6.926114082336426,False,2109.0,1206.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1377.5137022956733,3441.5249667644503,1910.181715934988,1993811.0,121102.0,10000,5573.391914367676,11.015141010284424,0.0,0,2111.0,1229.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1435.571520558109,3316.982237100601,1948.7463979555264,1989163.0,117076.0,10000,5505.882024765015,13.019086837768556,0.0,0,2055.0,1168.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1423.5428918973223,3328.242477321625,1925.0153875915796,1993077.0,118702.0,10000,5496.939897537231,19.023972988128666,6.365776062011719,False,2103.0,1193.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1443.4982465038918,3685.766431236267,2039.9356379691244,1993485.0,119164.0,10000,5938.647985458374,17.02436089515686,6.711893081665039,False,2108.0,1200.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1360.0033773887585,3623.271594643593,1908.2282746000476,1993352.0,116680.0,10000,5717.146158218384,11.336623907089232,0.0,0,2107.0,1162.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1442.1561263949632,3380.7764125585554,1988.1053859406663,1991481.0,119320.0,10000,5634.824991226196,11.015352964401243,0.0,0,2086.0,1202.0
