size,cpu_bw,mem,requests_per_second,completed_requests,failed_requests,html_transfer_byte,mean_time_per_request,total_transfer_byte,transfer_rate_kbyte_per_second,rx_bytes,rx_packets,tx_bytes,tx_packets,vnf
0,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40643684.0,113005.0,19184806.0,112879.0,nginx
0,0.1,64,1783.06,107128.0,0.0,0.0,0.561,32734529.0,532.07,40102485.0,111501.0,18929278.0,111377.0,nginx
0,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38883453.0,108114.0,18354072.0,107992.0,nginx
0,0.1,64,1784.42,107065.0,0.0,0.0,0.56,32715251.0,532.47,40079181.0,111440.0,18918184.0,111312.0,nginx
0,0.1,64,1755.71,105343.0,0.0,0.0,0.57,32189066.0,523.91,39434018.0,109644.0,18614022.0,109525.0,nginx
0,0.1,64,1784.8,107447.0,0.0,0.0,0.56,32832011.0,532.59,40221837.0,111832.0,18985468.0,111706.0,nginx
0,0.1,64,1773.52,106411.0,0.0,0.0,0.564,32515435.0,529.22,39834099.0,110755.0,18802748.0,110634.0,nginx
0,0.1,64,1761.77,105706.0,0.0,0.0,0.568,32300013.0,525.72,39569847.0,110016.0,18678174.0,109901.0,nginx
0,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39999800.0,111214.0,18880828.0,111090.0,nginx
0,0.1,64,1807.51,108524.0,0.0,0.0,0.553,33161089.0,539.37,40624857.0,112951.0,19175858.0,112827.0,nginx
0,0.1,64,1795.32,107719.0,0.0,0.0,0.557,32915111.0,535.73,40323441.0,112112.0,19033744.0,111992.0,nginx
0,0.1,64,1787.97,107573.0,0.0,0.0,0.559,32870479.0,533.53,40269363.0,111969.0,19008200.0,111844.0,nginx
0,0.1,64,1771.1,106436.0,0.0,0.0,0.565,32523085.0,528.5,39843465.0,110781.0,18806834.0,110655.0,nginx
0,0.1,64,1750.05,105134.0,0.0,0.0,0.571,32125242.0,522.22,39355955.0,109424.0,18576750.0,109301.0,nginx
0,0.1,64,1812.85,108771.0,0.0,0.0,0.552,33236579.0,540.96,40716994.0,113203.0,19219644.0,113086.0,nginx
0,0.1,64,1790.84,107529.0,0.0,0.0,0.558,32857059.0,534.39,40252503.0,111917.0,19000140.0,111794.0,nginx
0,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40907371.0,113735.0,19309306.0,113611.0,nginx
0,0.1,64,1778.0,106922.0,0.0,0.0,0.562,32671581.0,530.56,40025595.0,111290.0,18892890.0,111163.0,nginx
0,0.1,64,1741.73,104732.0,0.0,0.0,0.574,32002404.0,519.74,39205719.0,109009.0,18506062.0,108885.0,nginx
0,0.1,64,1776.96,107027.0,0.0,0.0,0.563,32703667.0,530.25,40064685.0,111396.0,18911300.0,111270.0,nginx
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121286799.0,433828.0,28330188.0,429176.0,nginx
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7248088463.0,441312.0,28936966.0,438387.0,nginx
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7175624133.0,436839.0,28575566.0,432903.0,nginx
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7247495627.0,441582.0,28877172.0,437458.0,nginx
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7135299301.0,434807.0,28459422.0,431143.0,nginx
1,0.1,64,0.38,23.0,0.0,7322937478.0,2611.934,7322944264.0,119040.78,7352533572.0,447394.0,29240372.0,442984.0,nginx
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7047546571.0,429102.0,28095974.0,425653.0,nginx
