size,cpu_bw,mem,requests_per_second,completed_requests,failed_requests,html_transfer_byte,mean_time_per_request,total_transfer_byte,transfer_rate_kbyte_per_second,rx_bytes,rx_packets,tx_bytes,tx_packets,vnf
0,0.1,64,653.76,39778.0,0.0,0.0,1.53,15553198.0,249.63,18187753.0,39910.0,7518677.0,39786.0,squid
0,0.1,64,657.14,39746.0,0.0,0.0,1.522,15540686.0,250.92,18173261.0,39880.0,7512497.0,39752.0,squid
0,0.1,64,660.99,39699.0,0.0,0.0,1.513,15522309.0,252.39,18151716.0,39832.0,7503878.0,39709.0,squid
0,0.1,64,644.47,39081.0,0.0,0.0,1.552,15280671.0,246.08,17869356.0,39215.0,7387076.0,39091.0,squid
0,0.1,64,655.77,39619.0,0.0,0.0,1.525,15491029.0,250.4,18115222.0,39753.0,7488494.0,39625.0,squid
0,0.1,64,660.01,39717.0,0.0,0.0,1.515,15529347.0,252.02,18160140.0,39853.0,7507280.0,39727.0,squid
0,0.1,64,654.72,39742.0,0.0,0.0,1.527,15539122.0,250.0,18171433.0,39876.0,7511873.0,39750.0,squid
0,0.1,64,665.18,40179.0,0.0,0.0,1.503,15709989.0,253.99,18371142.0,40313.0,7594466.0,40187.0,squid
0,0.1,64,652.41,39298.0,0.0,0.0,1.533,15365518.0,249.11,17968591.0,39433.0,7427825.0,39304.0,squid
0,0.1,64,670.91,40327.0,0.0,0.0,1.491,15767857.0,256.18,18438646.0,40459.0,7622570.0,40337.0,squid
0,0.1,64,656.56,39847.0,0.0,0.0,1.523,15580177.0,250.7,18219418.0,39981.0,7531586.0,39853.0,squid
0,0.1,64,668.87,40571.0,0.0,0.0,1.495,15863261.0,255.4,18550286.0,40705.0,7668554.0,40579.0,squid
0,0.1,64,676.1,40566.0,0.0,0.0,1.479,15861306.0,258.16,18547737.0,40696.0,7667609.0,40574.0,squid
0,0.1,64,660.77,40057.0,0.0,0.0,1.513,15662287.0,252.31,18315520.0,40193.0,7571276.0,40063.0,squid
0,0.1,64,663.93,40181.0,0.0,0.0,1.506,15710771.0,253.51,18372188.0,40317.0,7594976.0,40191.0,squid
0,0.1,64,669.23,40228.0,0.0,0.0,1.494,15729148.0,255.54,18393535.0,40362.0,7603595.0,40234.0,squid
0,0.1,64,665.28,40127.0,0.0,0.0,1.503,15689657.0,254.03,18347444.0,40262.0,7584638.0,40135.0,squid
0,0.1,64,655.1,39758.0,0.0,0.0,1.526,15545378.0,250.14,18178877.0,39894.0,7514765.0,39764.0,squid
0,0.1,64,660.96,39943.0,0.0,0.0,1.513,15617713.0,252.38,18263290.0,40077.0,7549862.0,39951.0,squid
0,0.1,64,659.93,40047.0,0.0,0.0,1.515,15658377.0,251.99,18311082.0,40185.0,7569518.0,40055.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013274549.0,482450.0,31456511.0,476595.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013962247.0,480931.0,31211695.0,472737.0,squid
1,0.1,64,0.1,6.0,0.0,1910331516.0,10006.517,1910333796.0,31072.42,1941175862.0,466873.0,30518963.0,462389.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032994655.0,488499.0,31677175.0,479937.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015996672.0,481936.0,31364393.0,475120.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022554754.0,486369.0,31720631.0,480599.0,squid
1,0.1,64,0.1,6.0,0.0,1910331516.0,10098.059,1910333796.0,30790.74,1941106696.0,465190.0,30284949.0,458834.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999679803.0,478485.0,31289953.0,473992.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011016319.0,481255.0,31325847.0,474615.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972842195.0,472457.0,30891661.0,467870.0,squid
1,0.1,64,0.1,6.0,0.0,1910331516.0,10115.524,1910333796.0,30737.58,1941386358.0,464261.0,30196627.0,457437.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019284002.0,485113.0,31540367.0,477843.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017254365.0,483710.0,31566197.0,478256.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977251737.0,474676.0,30860143.0,467563.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017832014.0,485411.0,31747525.0,481008.0,squid
1,0.1,64,0.1,6.0,0.0,1910331516.0,10063.056,1910333796.0,30897.84,1940926790.0,463165.0,30115493.0,456272.0,squid
1,0.1,64,0.1,6.0,0.0,1910331516.0,10005.341,1910333796.0,31076.08,1941160000.0,466454.0,30353191.0,459875.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981655469.0,475530.0,30929611.0,468311.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995376793.0,477296.0,31142563.0,471675.0,squid
1,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977033038.0,473511.0,30912655.0,468359.0,squid
0,0.1,128,660.65,39689.0,0.0,0.0,1.514,15518399.0,252.26,18147080.0,39821.0,7501856.0,39697.0,squid
0,0.1,128,672.65,40419.0,0.0,0.0,1.487,15803829.0,256.84,18480954.0,40555.0,7639826.0,40427.0,squid
0,0.1,128,669.45,40167.0,0.0,0.0,1.494,15705297.0,255.62,18365790.0,40303.0,7592066.0,40173.0,squid
0,0.1,128,645.91,39210.0,0.0,0.0,1.548,15331110.0,246.63,17928309.0,39344.0,7411457.0,39220.0,squid
0,0.1,128,654.36,39550.0,0.0,0.0,1.528,15464050.0,249.86,18083689.0,39684.0,7475585.0,39558.0,squid
0,0.1,128,658.79,39693.0,0.0,0.0,1.518,15519963.0,251.55,18149040.0,39827.0,7502612.0,39701.0,squid
0,0.1,128,648.24,39395.0,0.0,0.0,1.543,15403445.0,247.52,18012788.0,39528.0,7446620.0,39408.0,squid
0,0.1,128,667.51,40291.0,0.0,0.0,1.498,15753781.0,254.88,18422458.0,40427.0,7615502.0,40297.0,squid
0,0.1,128,671.38,40457.0,0.0,0.0,1.489,15818687.0,256.36,18498188.0,40591.0,7646876.0,40463.0,squid
0,0.1,128,656.63,39824.0,0.0,0.0,1.523,15571184.0,250.73,18208907.0,39958.0,7527239.0,39830.0,squid
0,0.1,128,653.95,39237.0,0.0,0.0,1.529,15341667.0,249.7,17940516.0,39369.0,7416428.0,39245.0,squid
0,0.1,128,662.38,40238.0,0.0,0.0,1.51,15733058.0,252.92,18398237.0,40374.0,7605617.0,40246.0,squid
0,0.1,128,663.86,40312.0,0.0,0.0,1.506,15761992.0,253.48,18431857.0,40445.0,7619867.0,40324.0,squid
0,0.1,128,665.97,40478.0,0.0,0.0,1.502,15826898.0,254.29,18507785.0,40612.0,7651109.0,40488.0,squid
0,0.1,128,648.12,38887.0,0.0,0.0,1.543,15204817.0,247.47,17780566.0,39019.0,7350608.0,38900.0,squid
0,0.1,128,655.28,39744.0,0.0,0.0,1.526,15539904.0,250.21,18172479.0,39880.0,7512251.0,39752.0,squid
0,0.1,128,655.65,39837.0,0.0,0.0,1.525,15576267.0,250.35,18214848.0,39971.0,7529828.0,39845.0,squid
0,0.1,128,652.08,39563.0,0.0,0.0,1.534,15469133.0,248.99,18089630.0,39697.0,7478042.0,39571.0,squid
0,0.1,128,659.97,40042.0,0.0,0.0,1.515,15656422.0,252.0,18308599.0,40177.0,7568441.0,40048.0,squid
0,0.1,128,673.82,40429.0,0.0,0.0,1.484,15807739.0,257.29,18485128.0,40559.0,7641848.0,40439.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002759673.0,479276.0,31125533.0,471532.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022733645.0,482350.0,31295089.0,474064.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038365568.0,488756.0,31831533.0,482254.0,squid
1,0.1,128,0.1,6.0,0.0,1910331516.0,10300.22,1910333796.0,30186.42,1936825898.0,464728.0,30281424.0,458697.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030093417.0,486244.0,31711855.0,480415.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031083582.0,486171.0,31611403.0,478947.0,squid
1,0.1,128,0.1,6.0,0.0,1910331516.0,10073.343,1910333796.0,30866.29,1944532052.0,465152.0,30220003.0,457415.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010651227.0,483077.0,31546871.0,477961.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984921406.0,473271.0,30781835.0,466355.0,squid
1,0.1,128,0.1,6.0,0.0,1910331516.0,10251.513,1910333796.0,30329.84,1919454425.0,461099.0,29876286.0,452640.0,squid
1,0.1,128,0.1,6.0,0.0,1910331516.0,10127.407,1910333796.0,30701.51,1941227070.0,466677.0,30342873.0,459706.0,squid
1,0.1,128,0.1,6.0,0.0,1910331516.0,10162.733,1910333796.0,30594.79,1941152508.0,466832.0,30422743.0,460935.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007558509.0,482402.0,31429117.0,476170.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981763368.0,474580.0,30948553.0,468750.0,squid
1,0.1,128,0.1,6.0,0.0,1910331516.0,10130.305,1910333796.0,30692.73,1941160868.0,464368.0,30234149.0,458052.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016951157.0,485146.0,31659119.0,479665.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022032056.0,484112.0,31454627.0,476549.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006306076.0,481194.0,31360537.0,475146.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982928339.0,471597.0,30763097.0,466076.0,squid
1,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032467787.0,487521.0,31610457.0,478926.0,squid
0,0.1,256,673.56,40414.0,0.0,0.0,1.485,15801874.0,257.19,18478471.0,40547.0,7638749.0,40420.0,squid
0,0.1,256,652.44,39624.0,0.0,0.0,1.533,15492984.0,249.13,18117639.0,39760.0,7489571.0,39632.0,squid
0,0.1,256,648.7,38922.0,0.0,0.0,1.542,15218502.0,247.7,17796561.0,39054.0,7356761.0,38928.0,squid
0,0.1,256,668.87,40486.0,0.0,0.0,1.495,15830026.0,255.4,18511573.0,40622.0,7652621.0,40496.0,squid
0,0.1,256,658.96,40022.0,0.0,0.0,1.518,15648602.0,251.61,18299525.0,40158.0,7564793.0,40030.0,squid
0,0.1,256,659.63,40126.0,0.0,0.0,1.516,15689266.0,251.87,18347053.0,40262.0,7584317.0,40132.0,squid
0,0.1,256,661.09,39936.0,0.0,0.0,1.513,15614976.0,252.43,18260091.0,40070.0,7548671.0,39946.0,squid
0,0.1,256,664.73,39884.0,0.0,0.0,1.504,15594644.0,253.82,18236195.0,40016.0,7538975.0,39896.0,squid
0,0.1,256,654.03,39609.0,0.0,0.0,1.529,15487119.0,249.73,18110652.0,39743.0,7486793.0,39616.0,squid
0,0.1,256,660.06,40058.0,0.0,0.0,1.515,15662678.0,252.03,18315845.0,40192.0,7571597.0,40066.0,squid
0,0.1,256,658.8,39904.0,0.0,0.0,1.518,15602464.0,251.55,18245467.0,40038.0,7542359.0,39910.0,squid
0,0.1,256,662.05,39723.0,0.0,0.0,1.51,15531693.0,252.79,18162750.0,39857.0,7508414.0,39733.0,squid
0,0.1,256,649.05,39486.0,0.0,0.0,1.541,15439026.0,247.83,18054441.0,39620.0,7463621.0,39496.0,squid
0,0.1,256,660.69,40080.0,0.0,0.0,1.514,15671280.0,252.28,18326031.0,40216.0,7575887.0,40090.0,squid
0,0.1,256,663.33,40083.0,0.0,0.0,1.508,15672453.0,253.28,18327138.0,40215.0,7576322.0,40091.0,squid
0,0.1,256,665.77,39946.0,0.0,0.0,1.502,15618886.0,254.21,18264529.0,40078.0,7550561.0,39956.0,squid
0,0.1,256,653.24,39505.0,0.0,0.0,1.531,15446455.0,249.43,18063520.0,39645.0,7466948.0,39511.0,squid
0,0.1,256,656.78,39959.0,0.0,0.0,1.523,15623969.0,250.78,18270668.0,40094.0,7552886.0,39967.0,squid
0,0.1,256,671.1,40592.0,0.0,0.0,1.49,15871472.0,256.25,18560015.0,40728.0,7672787.0,40604.0,squid
0,0.1,256,663.92,40352.0,0.0,0.0,1.506,15777632.0,253.51,18450137.0,40485.0,7627295.0,40362.0,squid
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054198191.0,491919.0,32124947.0,486691.0,squid
1,0.1,256,0.1,6.0,0.0,1910331516.0,10088.438,1910333796.0,30820.11,1941193272.0,466294.0,30413467.0,460783.0,squid
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032989610.0,488305.0,31758247.0,480983.0,squid
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053796205.0,491406.0,32023267.0,485099.0,squid
1,0.1,256,0.1,6.0,0.0,1910331516.0,10082.022,1910333796.0,30839.72,1941174820.0,466216.0,30278396.0,458734.0,squid
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020631750.0,483515.0,31623757.0,479126.0,squid
